GameID,Team,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI_b,WPA_b,RE24_b,IP,TBF,H_p,R_p,ER,BB_p,HBP_p,K,HR_p,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI_p,WPA_p,RE24_p
05-17,LG,40,36,4,12,1,4,3,0,9,3,12,158,1,19,0.333,0.847,2.76,-0.162,-1.34,9.0,52,18,12,11,7,0,8,1,4-10,205-117,5-2,34,11.0,2.78,0.71,-0.339,-6.67
05-17,삼성,41,31,5,10,0,5,5,1,9,7,5,161,2,21,0.323,0.937,2.45,-0.02,-0.33,8.0,40,9,7,6,5,0,7,1,8-8,153-97,6-2,49,6.75,1.75,1.92,-0.479,-2.26
05-17,롯데,40,33,7,9,1,7,5,0,7,8,8,153,0,25,0.273,0.783,3.23,0.478,2.24,9.0,41,10,5,5,5,1,9,0,7-5,161-102,1-0,33,5.0,1.67,1.21,0.022,0.34
05-17,키움,38,34,3,8,1,3,4,0,8,10,7,138,1,14,0.235,0.669,2.16,-0.045,-1.33,9.0,37,8,2,2,3,1,7,1,11-5,148-93,2-0,57,2.0,1.22,1.7,0.546,2.33
05-17,NC,37,33,2,8,1,2,3,1,7,11,5,148,0,17,0.242,0.718,8.5,-0.544,-2.35,9.0,38,8,3,3,4,0,8,1,10-7,138-88,0-0,47,3.0,1.33,0.71,0.045,1.33
05-17,두산,37,36,1,9,1,1,1,0,11,8,7,137,0,15,0.25,0.631,2.28,-0.311,-4.33,8.0,33,8,4,4,1,0,6,1,7-10,125-83,2-0,34,4.5,1.13,0.34,-0.19,-0.26
05-17,KIA,33,32,4,8,1,4,1,0,6,7,10,125,0,9,0.25,0.711,0.91,0.189,0.25,9.0,37,9,1,1,1,0,11,1,8-7,137-95,1-0,62,1.0,1.11,0.73,0.311,4.34
05-17,SSG,38,35,5,9,0,5,2,0,11,10,5,159,0,12,0.257,0.689,2.54,0.212,-0.34,9.0,34,7,2,2,1,0,12,1,7-4,147-109,0-0,77,2.0,0.89,0.89,0.286,3.33
05-17,한화,34,33,2,7,1,2,1,0,12,7,4,147,0,10,0.212,0.599,2.27,-0.288,-3.33,9.0,38,9,5,5,2,0,11,0,10-5,159-105,1-0,47,5.0,1.22,0.5,-0.213,0.34
05-18,KT,35,33,1,7,0,1,2,0,5,13,7,149,1,14,0.212,0.469,2.76,-0.226,-4.34,8.0,31,6,5,5,3,0,9,2,6-5,111-69,0-0,48,5.63,1.13,0.22,-0.274,-0.27
05-18,LG,31,28,5,6,2,5,3,0,9,6,5,111,2,6,0.214,0.79,0.71,0.274,0.28,9.0,35,7,1,1,2,0,5,0,13-7,149-95,4-0,61,1.0,1.0,0.65,0.225,4.32
05-18,삼성,40,35,3,8,0,3,5,0,11,5,8,153,0,23,0.229,0.639,2.28,-0.321,-2.32,8.0,34,7,6,6,3,1,7,1,8-5,144-87,1-1,44,6.75,1.25,0.46,-0.178,-1.27
05-18,롯데,34,29,6,7,1,6,3,1,7,8,5,144,0,14,0.241,0.712,1.41,0.178,1.26,9.0,40,8,3,3,5,0,11,0,5-8,153-95,2-0,63,3.0,1.44,1.19,0.322,2.32
05-18,키움,30,29,0,1,0,0,1,0,12,6,10,117,0,7,0.034,0.101,1.48,-0.451,-5.33,8.0,33,7,5,5,3,0,4,0,11-5,133-87,2-2,66,5.63,1.25,0.77,-0.051,-0.27
05-18,NC,33,30,5,7,0,5,3,0,4,11,5,133,0,10,0.233,0.603,3.88,0.051,0.27,9.0,30,1,0,0,1,0,12,0,6-10,117-76,1-0,91,0.0,0.22,0.47,0.45,5.33
05-18,두산,47,42,4,13,1,4,5,0,7,13,6,177,0,25,0.31,0.859,3.63,-0.238,-1.92,9.1,44,9,5,5,7,1,10,1,6-11,184-111,4-1,42,4.82,1.71,1.78,-0.263,1.91
05-18,KIA,44,36,5,9,1,4,7,1,10,6,11,184,0,15,0.25,0.803,4.13,0.264,-1.91,10.0,47,13,4,4,5,0,7,1,13-6,177-110,6-1,46,3.6,1.8,2.43,0.237,1.91
05-10,LG,40,34,4,8,1,4,5,0,12,8,5,195,0,16,0.235,0.774,1.32,0.158,-1.36,9.0,38,4,1,0,5,2,8,0,10-9,150-92,1-0,66,0.00,1.00,1.11,0.341,4.38
05-10,삼성,38,31,1,4,0,1,5,2,8,10,9,150,1,19,0.129,0.483,3.94,-0.341,-4.36,9.0,40,8,4,4,5,0,12,1,8-5,195-123,1-0,34,4.00,1.44,0.51,-0.160,1.37
05-11,NC,39,34,5,9,1,5,3,0,5,9,10,155,0,15,0.265,0.736,1.74,0.271,-0.35,9.0,37,7,2,2,2,2,6,0,10-8,160-106,0-0,51,2.00,1.00,0.93,0.228,2.38
05-11,두산,37,33,2,7,0,2,2,2,6,10,8,160,1,14,0.212,0.509,2.12,-0.229,-2.35,9.0,39,9,5,5,3,0,5,1,9-10,155-102,3-2,30,5.00,1.33,0.58,-0.271,0.38
05-11,KIA,33,30,1,1,1,1,3,0,7,16,6,119,0,15,0.033,0.254,1.63,-0.252,-4.36,8.0,36,5,5,5,7,0,6,0,4-13,135-75,8-4,53,5.63,1.50,0.94,-0.248,-0.23
05-11,SSG,36,28,5,5,0,5,7,0,6,4,13,135,0,15,0.179,0.583,4.51,0.247,0.24,9.0,33,1,1,1,3,0,7,1,16-6,119-76,0-0,77,1.00,0.44,0.57,0.252,4.37
05-11,롯데,40,28,1,3,0,1,9,2,6,8,9,167,0,25,0.107,0.466,6.06,-0.563,-4.37,9.0,38,5,1,1,5,1,7,0,13-6,161-98,3-0,61,1.00,1.11,2.53,0.564,4.38
05-11,KT,38,32,1,5,0,1,5,1,7,13,6,161,2,20,0.156,0.445,7.76,-0.563,-4.36,9.0,40,3,1,1,9,2,6,0,8-9,167-93,2-0,56,1.00,1.33,2.12,0.564,4.37
05-18,SSG,46,38,7,10,1,7,7,1,7,7,13,186,0,26,0.263,0.812,1.41,0.215,1.66,9.0,40,12,3,3,2,1,4,0,8-12,145-97,2-1,43,3.00,1.56,0.82,0.285,2.33
05-18,한화,40,35,3,12,0,3,2,1,4,8,12,145,1,17,0.343,0.785,1.67,-0.285,-2.32,9.0,46,10,7,5,7,1,7,1,7-13,186-106,3-2,30,5.00,1.89,0.62,-0.215,-1.67
05-17,두산,35,30,2,6,1,2,3,1,10,7,7,127,1,9,0.200,0.627,2.86,-0.368,-3.36,8.0,40,9,5,4,7,0,8,1,7-8,172-100,3-1,49,4.50,2.00,0.86,-0.135,-0.25
05-17,KIA,40,33,5,9,1,3,7,0,8,7,8,172,0,24,0.273,0.824,2.74,0.135,0.24,9.0,35,6,2,2,3,1,10,1,7-7,127-81,0-0,63,2.00,1.00,1.11,0.367,3.34
05-17,SSG,31,30,0,4,0,0,1,0,20,4,2,136,0,7,0.133,0.294,3.53,-0.741,-5.34,8.0,36,6,1,1,4,2,4,0,9-7,137-86,2-0,60,1.13,1.25,1.01,0.241,3.75
05-17,한화,36,30,1,6,0,1,4,2,4,9,7,137,1,22,0.200,0.566,4.98,-0.243,-3.75,9.0,31,4,0,0,1,0,20,0,4-2,136-95,0-0,95,0.00,0.56,2.52,0.741,5.33
05-17,키움,40,34,2,5,0,2,6,0,11,10,7,174,0,23,0.147,0.451,3.91,-0.394,-2.35,8.0,39,6,3,3,5,4,8,1,4-7,142-83,3-2,46,3.38,1.38,1.36,-0.106,1.75
05-17,NC,39,29,3,6,1,3,5,4,8,4,7,142,0,20,0.207,0.774,2.84,0.107,-1.74,9.0,40,5,2,1,6,0,11,0,10-7,174-101,6-1,66,1.00,1.22,2.79,0.393,2.34
05-17,KT,45,35,7,8,1,6,7,2,6,10,11,206,0,21,0.229,0.778,2.19,0.369,1.66,9.0,42,9,6,6,8,0,7,2,4-14,175-104,2-2,38,6.00,1.89,1.34,0.130,-0.67
05-17,LG,42,34,6,9,2,6,8,0,7,4,14,175,0,15,0.265,0.876,1.90,-0.132,0.67,9.0,45,8,7,6,7,2,6,1,10-11,206-115,11-4,54,6.00,1.67,1.73,-0.369,-1.68
05-17,삼성,40,34,7,8,2,6,5,0,5,10,7,164,1,15,0.235,0.804,3.73,0.106,1.66,8.0,40,13,8,7,3,1,7,0,10-5,149-98,0-0,31,7.88,2.00,0.98,-0.606,-3.26
05-17,롯데,40,35,8,13,0,7,3,1,7,10,5,149,1,17,0.371,0.825,1.49,0.606,3.26,9.0,40,8,7,6,5,0,5,2,10-7,164-100,4-2,36,6.00,1.44,1.83,-0.108,-1.67
