GameDate,Team,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI_b,WPA_b,RE24_b,IP,TBF,H_p,R_p,ER,BB_p,HBP_p,K,HR_p,GSC,ERA,WHIP,LI_p,WPA_p,RE24_p,NP_total,NP_strike,IR,IS,Result,home_away
2024-03-23,6,35,32,2,7,0,2,2,1,6,9,13,120,1,18,0.219,0.567,1.86,-0.108,-3.52,8.0,42,11,8,5,6,1,2,0,32,5.63,2.13,0.4,-0.389,-3.08,166,99,6,0,0,0
2024-03-23,8,42,35,8,11,0,8,6,1,2,6,13,166,1,20,0.314,0.743,1.48,0.39,3.09,9.0,35,7,2,2,2,1,6,0,52,2.0,1.0,0.52,0.111,3.51,120,78,0,0,1,1
2024-03-23,4,42,36,3,9,1,3,6,0,12,5,9,176,1,23,0.25,0.69,3.08,-0.272,-2.51,8.0,34,8,5,5,3,1,8,2,46,5.63,1.38,0.63,-0.229,-1.09,134,81,1,1,0,0
2024-03-23,5,34,30,5,8,2,5,3,1,8,6,9,134,1,12,0.267,0.853,1.75,0.229,1.11,9.0,42,9,3,3,6,0,12,1,47,3.0,1.67,1.75,0.272,2.52,176,107,2,0,1,1
2024-03-23,2,47,40,6,11,1,6,6,0,11,7,11,165,1,19,0.275,0.72,5.6,0.101,0.87,10.0,39,5,2,1,4,1,11,1,66,0.9,0.9,1.69,0.4,3.13,145,100,0,0,1,0
2024-03-23,7,39,34,2,5,1,2,4,1,11,9,9,145,0,13,0.147,0.491,1.75,-0.4,-3.13,10.0,47,11,6,6,6,0,11,1,62,5.4,1.7,1.72,-0.099,-0.87,165,106,4,3,0,1
2024-03-23,3,36,34,5,7,1,4,2,0,8,9,14,132,0,10,0.206,0.544,2.66,-0.117,0.47,8.0,42,13,7,7,5,0,1,1,13,7.88,2.25,0.42,-0.386,-2.1,170,96,0,0,0,0
2024-03-23,0,42,37,7,13,1,7,5,0,1,7,11,170,0,19,0.351,0.97,1.15,0.385,2.1,9.0,36,7,5,4,2,0,8,1,43,4.0,1.0,1.15,0.115,-0.5,132,82,1,0,1,1
2024-03-23,1,34,33,3,8,0,3,0,0,6,6,12,127,0,8,0.242,0.606,2.35,-0.015,-1.51,8.2,40,7,4,4,3,3,9,1,72,4.15,1.15,2.68,-0.486,2.52,146,92,1,0,0,0
2024-03-23,9,40,34,4,7,1,4,3,3,9,8,11,146,0,17,0.206,0.707,6.49,0.485,-2.52,9.0,34,8,3,3,0,0,6,0,64,3.0,0.89,1.86,0.015,1.51,127,84,2,1,1,1
2024-03-24,6,38,34,8,11,3,8,3,0,7,6,14,157,3,13,0.324,1.025,2.49,0.283,2.48,9.0,38,10,4,4,2,0,6,0,57,4.0,1.33,1.15,0.217,0.51,150,95,1,0,1,0
2024-03-24,8,38,35,4,10,0,4,2,0,6,9,6,150,0,13,0.286,0.659,1.9,-0.216,-0.53,9.0,38,11,8,8,3,0,7,3,50,8.0,1.56,0.69,-0.283,-2.49,157,104,2,2,0,1
2024-03-24,4,42,37,6,10,1,6,3,2,8,11,5,178,0,15,0.27,0.762,2.0,-0.067,1.46,8.0,41,10,7,7,7,1,7,2,51,7.88,2.13,0.67,-0.433,-0.48,179,103,3,1,0,0
2024-03-24,5,41,33,7,10,2,6,7,1,7,7,11,179,1,22,0.303,0.984,1.61,0.431,0.46,9.0,42,10,6,2,3,2,8,1,69,2.0,1.44,1.01,0.068,-1.48,178,109,6,3,1,1
2024-03-24,2,51,39,11,18,1,11,9,0,4,9,13,170,1,28,0.462,1.218,1.05,0.305,5.49,9.0,42,16,8,8,0,1,2,0,58,8.0,1.78,0.28,0.194,-2.49,150,93,3,2,1,0
2024-03-24,7,42,41,8,16,0,8,0,1,2,12,5,150,2,16,0.39,0.868,1.02,-0.196,2.48,9.0,51,18,11,11,9,0,4,1,32,11.0,3.0,0.36,-0.305,-5.49,170,107,2,1,0,1
2024-03-24,1,40,35,6,10,3,6,4,0,4,11,8,165,1,17,0.286,0.902,0.84,0.171,0.47,9.0,38,7,3,2,2,2,8,0,66,2.0,1.0,0.81,0.331,2.51,138,93,2,2,1,0
2024-03-24,9,38,34,3,7,0,2,2,2,8,5,16,138,0,18,0.206,0.554,1.78,-0.33,-2.54,9.0,40,10,6,6,4,0,4,3,43,6.0,1.56,0.39,-0.17,-0.48,165,103,2,2,0,1
2024-03-26,2,38,35,3,8,0,3,2,1,6,10,8,131,1,20,0.229,0.518,3.94,-0.144,-1.51,8.2,35,8,4,4,5,0,2,1,48,4.15,1.5,1.92,-0.358,2.51,116,66,1,0,0,0
2024-03-26,8,35,27,4,8,1,4,5,0,2,8,13,116,3,8,0.296,0.913,3.01,0.358,-2.51,9.0,38,8,3,3,2,1,6,0,50,3.0,1.11,1.56,0.142,1.51,131,85,0,0,1,1
2024-03-26,6,37,33,6,6,1,6,4,0,8,8,10,145,0,9,0.182,0.543,1.42,0.166,0.49,9.0,35,3,0,0,3,2,8,0,66,0.0,0.67,0.44,0.333,5.51,150,89,0,0,1,0
2024-03-26,5,35,30,0,3,0,0,3,2,8,12,7,150,0,15,0.1,0.329,1.88,-0.334,-5.5,9.0,37,6,6,6,4,0,8,1,42,6.0,1.11,0.39,-0.166,-0.48,145,89,0,0,0,1
2024-03-26,1,38,34,8,9,2,8,3,0,10,8,6,150,0,10,0.265,0.816,1.98,0.682,2.46,9.0,42,11,5,4,3,0,14,0,50,4.0,1.56,1.32,-0.182,-0.49,170,105,2,1,1,0
2024-03-26,7,42,38,5,11,0,5,3,0,14,9,7,170,0,20,0.289,0.649,1.96,0.181,0.49,9.0,38,9,8,8,3,0,10,2,51,8.0,1.33,1.09,-0.682,-2.49,150,95,2,2,0,1
2024-03-26,4,38,33,1,6,0,1,5,0,8,7,8,148,0,14,0.182,0.501,4.37,-0.526,-4.52,8.0,32,6,2,2,3,0,7,1,63,2.25,1.13,1.35,0.029,2.9,115,78,1,0,0,0
2024-03-26,0,32,28,2,6,1,2,3,0,7,8,11,115,0,11,0.214,0.647,2.31,-0.028,-2.9,9.0,38,6,1,1,5,0,8,0,54,1.0,1.22,1.77,0.529,4.51,148,88,2,1,1,1
2024-03-26,3,38,35,5,8,1,5,2,1,11,4,8,153,0,13,0.229,0.66,1.16,-0.178,-0.53,8.0,46,11,10,9,9,2,11,2,33,10.13,2.5,0.23,-0.321,-5.1,191,107,4,0,0,0
2024-03-26,9,46,35,10,11,2,10,9,2,11,11,5,191,0,25,0.314,1.049,0.64,0.322,5.11,9.0,38,8,5,5,2,1,11,1,70,5.0,1.11,0.23,0.178,0.51,153,106,4,2,1,1
2024-03-27,6,37,26,3,2,0,2,8,1,8,7,8,140,0,20,0.077,0.421,1.91,-0.005,-2.53,9.0,34,5,1,1,2,1,11,0,66,1.0,0.78,1.82,0.504,4.51,145,97,2,1,1,0
2024-03-27,5,34,31,1,5,0,1,2,1,11,10,6,145,1,10,0.161,0.461,2.75,-0.503,-4.51,9.0,37,2,3,2,8,1,8,0,48,2.0,1.11,1.03,0.004,2.53,140,76,4,1,0,1
2024-03-27,1,46,40,11,18,0,11,2,0,6,7,11,161,1,16,0.45,1.11,0.58,0.428,5.48,9.0,46,8,8,7,11,0,9,4,35,7.0,2.11,1.01,0.07,-2.48,186,109,5,1,1,0
2024-03-27,7,46,35,8,8,4,8,11,0,9,9,11,186,1,16,0.229,0.984,2.11,-0.068,2.49,9.0,46,18,11,11,2,0,6,0,1,11.0,2.22,0.27,-0.428,-5.48,161,110,2,1,0,1
2024-03-27,4,35,32,2,6,1,1,2,1,14,9,8,134,1,13,0.188,0.57,0.95,-0.129,-3.52,8.0,39,10,8,5,6,1,5,1,35,5.63,2.0,0.16,-0.372,-3.08,149,82,3,2,0,0
2024-03-27,0,39,32,8,10,1,7,6,1,5,9,3,149,2,16,0.313,0.905,0.68,0.372,3.08,9.0,35,6,2,1,2,1,14,1,67,1.0,0.89,0.27,0.129,3.51,134,84,0,0,1,1
2024-03-27,3,40,33,2,6,1,2,5,2,11,7,10,158,0,23,0.182,0.689,5.65,-0.285,-2.52,8.0,37,8,6,6,6,0,3,2,27,6.75,1.75,0.56,-0.214,-2.1,132,71,0,0,0,0
2024-03-27,9,37,30,6,8,2,6,6,0,3,7,8,132,0,18,0.267,0.956,1.11,0.215,2.08,9.0,40,6,2,2,5,2,11,1,48,2.0,1.22,0.82,0.286,2.51,158,98,2,1,1,1
2024-03-28,2,38,32,1,5,0,1,3,1,6,6,10,142,1,30,0.156,0.431,1.96,-0.204,-4.53,8.0,51,25,18,18,2,2,5,2,23,20.25,3.38,0.19,-0.294,-13.1,197,132,1,0,0,0
2024-03-28,8,51,47,18,25,2,17,2,2,5,9,12,197,1,24,0.532,1.335,0.88,0.295,13.1,9.0,38,5,1,0,3,1,6,0,67,0.0,0.89,0.28,0.205,4.51,142,88,0,0,1,1
2024-03-28,6,47,35,10,15,1,10,9,1,3,9,8,190,1,20,0.429,1.161,1.2,0.288,4.48,9.0,41,13,6,5,2,0,9,1,50,5.0,1.67,0.61,0.213,-0.49,158,105,0,0,1,0
2024-03-28,5,41,39,6,13,1,6,2,0,9,7,12,158,1,19,0.333,0.828,1.69,-0.212,0.47,9.0,47,15,10,10,9,1,3,1,43,10.0,2.67,0.53,-0.287,-4.49,190,106,0,0,0,1
2024-03-28,1,42,34,7,9,2,7,4,2,10,8,8,169,0,18,0.265,0.895,3.14,0.61,1.49,8.1,49,18,8,8,4,1,8,0,24,8.64,2.64,2.66,-1.108,-0.49,174,114,5,1,0,0
2024-03-28,7,49,44,8,18,0,8,4,1,8,6,9,174,0,33,0.409,0.924,3.31,1.108,0.49,9.0,42,9,7,7,4,2,10,2,40,7.0,1.44,1.71,-0.61,-1.48,169,97,4,1,1,1
2024-03-29,0,41,35,4,9,0,4,5,0,7,10,6,182,1,22,0.257,0.721,2.15,0.096,-1.52,9.0,40,3,2,0,9,0,12,0,55,0.0,1.33,1.94,0.406,3.5,169,98,2,0,1,0
2024-03-29,1,40,31,2,3,0,0,9,0,12,5,14,169,1,30,0.097,0.397,3.77,-0.407,-3.51,9.0,41,9,4,3,5,0,7,0,44,3.0,1.56,1.12,-0.094,1.53,182,116,5,1,0,1
2024-03-29,8,39,33,3,7,0,2,5,0,7,3,8,140,0,17,0.212,0.52,1.72,-0.094,-2.51,9.0,35,7,0,0,1,0,15,0,77,0.0,0.89,1.72,0.592,5.51,159,107,2,0,1,0
