GameID,Team,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI_b,WPA_b,RE24_b,IP,TBF,H_p,R_p,ER,BB_p,HBP_p,K,HR_p,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI_p,WPA_p,RE24_p
04-02,롯데,40,34,6,10,2,6,2,3,6,8,11,163,1,16,0.294,0.963,1.05,0.256,0.48,9.0,34,8,2,1,1,0,6,0,9-10,152-101,1-0,52,1.0,1.0,0.75,0.244,1.5
04-02,한화,34,33,2,8,0,1,1,0,6,9,10,152,1,15,0.242,0.507,1.76,-0.245,-1.5,9.0,40,10,6,6,2,3,6,2,8-11,163-94,0-0,31,6.0,1.33,0.39,-0.256,-0.5
04-03,키움,35,32,1,7,0,1,3,0,9,7,8,133,2,15,0.219,0.599,3.12,-0.274,-3.45,8.0,36,8,6,2,3,0,9,2,9-7,133-88,1-0,56,2.25,1.38,0.3,-0.225,-1.16
04-03,두산,36,33,6,8,2,6,3,0,9,9,7,133,2,15,0.242,0.761,0.78,0.223,1.16,9.0,35,7,1,1,3,0,9,0,7-8,133-88,3-1,63,1.0,1.11,0.6,0.275,3.43
04-03,LG,40,36,5,9,1,5,3,0,5,14,6,139,1,22,0.25,0.697,2.25,0.111,-0.51,9.0,37,7,1,1,5,0,7,0,12-4,147-89,4-0,53,1.0,1.33,1.0,0.389,4.49
04-03,KT,37,32,1,7,0,1,5,0,7,12,4,147,2,14,0.219,0.637,2.61,-0.389,-4.48,9.0,40,9,5,3,3,0,5,1,14-6,139-99,1-0,53,3.0,1.33,0.43,-0.111,0.49
04-03,삼성,36,33,1,4,0,1,1,2,6,15,7,128,0,20,0.121,0.376,4.62,-0.418,-4.49,8.0,32,4,3,3,4,0,6,0,8-9,117-79,0-0,51,3.38,1.0,0.32,-0.083,1.89
04-03,KIA,32,28,3,4,0,3,4,0,6,8,9,117,0,9,0.143,0.464,1.89,0.083,-1.89,9.0,36,4,1,0,1,2,6,0,15-7,128-81,0-0,72,0.0,0.56,1.29,0.417,4.5
04-03,롯데,39,35,4,10,0,4,2,0,10,11,5,125,0,19,0.286,0.745,2.37,0.144,-1.5,9.0,39,7,2,2,5,0,9,0,11-5,154-93,4-2,54,2.0,1.33,2.31,0.355,3.49
04-03,한화,39,34,2,7,0,2,5,0,9,11,5,154,0,20,0.206,0.573,6.89,-0.357,-3.48,9.0,39,10,4,4,2,0,10,0,11-5,125-84,0-0,67,4.0,1.33,1.15,-0.144,1.49
04-04,KIA,42,37,2,10,0,2,5,0,7,7,10,154,0,27,0.27,0.681,2.87,-0.231,-3.44,8.0,38,10,8,8,5,0,6,0,10-7,141-87,3-3,39,9.0,1.88,0.43,-0.271,-3.15
04-04,LG,38,32,8,10,0,7,5,0,6,10,7,141,1,10,0.313,0.833,1.53,0.271,3.16,9.0,42,10,2,2,5,0,7,0,7-10,154-94,1-0,46,2.0,1.67,1.03,0.231,3.47
04-04,KT,49,40,2,10,0,1,8,0,12,9,8,199,1,26,0.25,0.65,4.66,-0.616,-5.73,10.2,52,8,3,3,12,0,8,0,9-14,197-124,1-0,43,2.53,1.88,1.85,0.116,4.72
04-04,SSG,52,39,3,8,0,3,12,0,8,9,14,197,0,36,0.205,0.623,2.97,-0.117,-4.73,11.0,49,10,2,1,8,0,12,0,9-8,199-126,0-0,53,0.82,1.64,2.19,0.616,5.71
04-04,두산,51,46,15,19,1,11,4,1,5,13,8,179,1,21,0.413,1.123,2.17,0.562,9.5,9.0,38,8,3,3,3,0,10,0,6-11,155-99,0-0,50,3.0,1.22,0.3,-0.061,2.49
04-04,롯데,38,35,3,8,0,3,3,0,10,6,11,155,0,16,0.229,0.632,1.35,0.06,-2.48,9.0,51,19,15,13,4,1,5,1,13-8,179-116,2-2,40,13.0,2.56,0.38,-0.56,-9.5
04-04,한화,31,31,0,3,0,0,0,0,8,8,10,109,0,7,0.097,0.194,0.98,-0.305,-5.44,8.0,39,9,5,5,5,1,8,2,7-8,157-102,3-0,30,5.63,1.75,0.2,-0.196,-0.16
04-04,삼성,39,33,5,9,2,5,5,1,8,7,8,157,0,15,0.273,0.87,1.5,0.196,0.17,9.0,31,3,0,0,0,0,8,0,8-10,109-84,0-0,78,0.0,0.33,0.27,0.304,5.46
04-04,NC,37,32,1,6,0,1,4,0,10,9,7,139,0,15,0.188,0.497,3.61,-0.48,-4.43,8.0,35,7,5,5,5,0,9,1,6-6,140-81,4-3,50,5.63,1.5,0.57,-0.019,-0.16
04-04,키움,35,28,5,7,1,5,5,0,9,6,6,140,1,13,0.25,0.757,1.57,0.019,0.15,9.0,37,6,1,1,4,0,10,0,9-7,139-85,2-0,70,1.0,1.11,0.74,0.481,4.45
04-05,두산,34,32,1,7,0,1,1,0,11,6,8,127,0,10,0.219,0.492,1.36,-0.332,-3.5,8.0,39,11,6,5,3,0,8,1,8-8,172-111,4-3,36,5.63,1.75,0.34,-0.168,-1.13
04-05,롯데,39,35,6,11,1,5,3,0,8,8,8,172,0,17,0.314,0.825,1.63,0.167,1.12,9.0,34,7,1,1,1,0,11,0,6-8,127-84,2-0,77,1.0,0.89,0.28,0.333,3.49
04-05,한화,43,35,7,8,3,7,8,0,6,10,11,184,0,18,0.229,0.886,2.01,0.557,3.56,9.0,39,10,6,6,3,0,4,3,10-12,145-85,1-0,36,6.0,1.44,0.71,-0.056,-0.56
04-05,삼성,39,36,6,10,3,6,3,0,4,10,12,145,0,13,0.278,0.916,1.1,0.058,0.56,9.0,43,8,7,6,8,0,6,3,10-11,184-116,2-0,61,6.0,1.78,0.9,-0.557,-3.58
04-05,NC,43,36,7,12,1,7,3,2,9,8,8,166,1,21,0.333,0.905,2.03,0.452,1.57,9.0,39,4,5,5,8,1,8,1,9-7,161-94,5-1,39,5.0,1.33,1.94,0.049,0.46
04-05,키움,39,29,5,4,1,4,8,1,8,9,7,161,1,17,0.138,0.574,3.35,-0.05,-0.46,9.0,43,12,7,7,3,2,9,1,8-8,166-106,4-4,29,7.0,1.67,1.17,-0.451,-1.55
04-06,KIA,32,30,1,4,0,1,1,1,10,8,7,121,1,8,0.133,0.388,2.14,-0.291,-4.45,8.0,33,6,5,4,3,1,7,0,3-12,122-74,0-0,51,4.5,1.13,0.34,-0.208,0.83
04-06,LG,33,26,5,6,0,4,3,1,7,3,12,122,0,10,0.231,0.582,1.71,0.208,-0.84,9.0,32,4,1,1,1,1,10,0,8-7,121-85,0-0,73,1.0,0.56,0.39,0.292,4.43
04-06,KT,32,29,0,6,0,0,2,1,4,8,10,126,2,12,0.207,0.557,4.61,-0.686,-5.49,8.1,33,7,1,1,2,0,6,0,11-5,114-80,0-0,72,1.08,1.08,2.08,0.187,5.49
04-06,SSG,33,31,1,7,0,1,2,0,6,11,5,114,2,12,0.226,0.499,4.69,-0.186,-5.5,9.0,32,6,0,0,2,1,4,0,8-10,126-78,0-0,64,0.0,0.89,1.9,0.687,5.49
04-06,두산,56,42,15,20,1,15,9,1,5,8,12,204,1,33,0.476,1.283,2.01,1.158,9.56,9.0,52,12,12,12,11,1,11,1,7-7,225-125,12-6,26,12.0,2.56,1.17,-0.658,-6.57
04-06,롯데,52,38,12,12,1,12,11,1,11,7,7,225,0,33,0.316,0.901,1.58,0.657,6.56,9.0,56,20,15,15,9,1,5,1,8-12,204-127,8-4,32,15.0,3.22,1.79,-1.157,-9.56
