GameID,Team,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI_b,WPA_b,RE24_b,IP,TBF,H_p,R_p,ER,BB_p,HBP_p,K,HR_p,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI_p,WPA_p,RE24_p
09월 14일,LG,33,31,0,6,0,0,2,0,9,7,9,136,1,12,0.194,0.436,1.86,-0.368,-4.6,8,38,12,5,4,3,0,7,0,09월 05일,160-107,02월 01일,41,4.5,1.88,0.45,-0.133,0.09
09월 14일,두산,38,34,5,12,0,4,3,0,7,9,5,160,0,19,0.353,0.817,2.18,0.134,-0.08,9,33,6,0,0,2,0,9,0,07월 09일,136-93,2-0,67,0,0.89,0.54,0.367,4.6
09월 14일,SSG,38,34,3,8,0,3,3,0,7,9,9,155,0,18,0.235,0.621,3.74,-0.02,-1.58,9,35,7,1,0,1,0,8,0,11월 08일,118-80,0-0,73,0,0.89,1.41,0.521,3.59
09월 14일,롯데,35,34,1,7,0,1,1,0,8,11,8,118,0,14,0.206,0.435,2.63,-0.523,-3.6,9,38,8,3,3,3,0,7,0,09월 09일,155-100,2-0,36,3,1.22,0.65,0.02,1.6
09월 14일,삼성,32,32,2,6,1,2,0,0,8,11,7,137,1,6,0.188,0.532,1.77,-0.083,-1.58,8,37,10,7,7,2,0,8,3,07월 08일,146-96,1-0,28,7.88,1.5,0.34,-0.417,-2.92
09월 14일,NC,37,35,7,10,3,7,2,0,8,7,8,146,0,15,0.286,0.867,2.2,0.416,2.93,9,32,6,2,2,0,0,8,1,11월 07일,137-91,0-0,66,2,0.67,0.39,0.083,1.59
09월 14일,키움,31,28,2,3,0,2,1,0,3,12,8,104,1,6,0.107,0.245,3.08,-0.121,-2.6,9,32,6,0,0,1,0,9,0,11월 05일,124-80,2-0,73,0,0.78,1.84,0.622,4.59
09월 14일,KIA,32,31,0,6,0,0,1,0,9,11,5,124,0,7,0.194,0.413,6.99,-0.622,-4.6,9,31,3,2,1,1,0,3,0,12월 08일,104-70,0-0,72,1,0.44,0.63,0.122,2.59
09월 14일,KT,35,31,1,5,0,1,2,2,13,5,7,150,0,16,0.161,0.418,4.04,-0.461,-3.58,8,34,6,4,1,3,0,4,1,06월 13일,127-87,02월 01일,63,1.13,1.13,0.61,-0.039,0.09
09월 14일,한화,34,31,4,6,1,2,3,0,4,13,6,127,0,15,0.194,0.588,1.79,0.039,-0.08,9,35,5,1,0,2,2,13,0,05월 07일,150-98,3-0,76,0,0.78,1.6,0.461,3.59
09월 15일,KT,34,31,0,6,0,0,3,0,8,8,9,149,1,12,0.194,0.459,4.04,-0.563,-4.6,8,32,5,2,0,2,1,4,0,09월 08일,131-90,0-0,61,0,0.88,0.59,0.063,2.08
09월 15일,LG,32,29,2,5,0,2,2,1,4,9,8,131,0,17,0.172,0.422,1.65,-0.064,-2.08,9,34,6,0,0,3,0,8,0,08월 09일,149-93,2-0,65,0,1,1.11,0.564,4.59
09월 15일,키움,39,38,2,11,0,2,1,0,8,9,9,143,0,20,0.289,0.65,5.1,-0.418,-2.59,8,36,10,4,3,1,1,3,0,10월 11일,118-71,0-0,52,3.38,1.38,1,-0.083,0.08
09월 15일,롯데,36,33,4,10,0,3,1,1,3,10,11,118,0,19,0.303,0.697,1.85,0.081,-0.08,9,39,11,2,2,1,0,8,0,09월 09일,143-100,2-0,38,2,1.33,1.53,0.417,2.6
