GameDate,Team,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI_b,WPA_b,RE24_b,IP,TBF,H_p,R_p,ER,BB_p,HBP_p,K,HR_p,GSC,ERA,WHIP,LI_p,WPA_p,RE24_p,NP_total,NP_strike,IR,IS,Result,home_away
2025-03-22,4,36,33,2,7,0,2,3,0,8,11,4,132,1,14,0.212,0.52,0.99,-0.141,-3.84,8.0,47,15,12,10,5,2,8,2,15,11.25,2.5,0.19,-0.359,-5.92,187,117,3,1,0,0
2025-03-22,8,47,37,12,15,2,10,5,2,8,7,11,187,1,29,0.405,1.165,0.93,0.358,5.93,9.0,36,7,2,2,3,0,8,0,59,2.0,1.11,0.2,0.141,3.83,132,84,0,0,1,1
2025-03-22,1,44,36,5,9,0,5,8,0,14,6,9,193,0,22,0.25,0.719,2.63,0.025,-0.53,8.0,37,8,6,6,3,2,7,1,42,6.75,1.38,1.27,-0.525,-1.07,139,80,0,0,0,0
2025-03-22,5,37,30,6,8,1,6,3,2,7,4,9,139,0,16,0.267,0.728,2.11,0.525,1.07,9.0,44,9,5,5,8,0,14,0,37,5.0,1.89,1.4,-0.026,0.54,193,116,8,1,1,1
2025-03-22,3,41,39,5,14,2,5,1,1,8,5,10,151,3,17,0.359,0.928,1.82,0.017,-0.46,8.0,47,18,13,13,4,1,9,2,12,14.63,2.75,0.45,-0.517,-9.14,171,105,2,2,0,0
2025-03-22,2,47,41,13,18,2,13,4,1,9,9,8,171,0,20,0.439,1.172,1.97,0.518,9.15,9.0,41,14,5,5,1,1,8,2,53,5.0,1.67,0.25,-0.017,0.46,151,106,0,0,1,1
2025-03-22,6,36,33,4,6,1,4,2,1,9,9,8,156,0,9,0.182,0.583,3.5,0.141,-1.15,9.0,39,12,3,3,1,1,7,1,48,3.0,1.44,1.71,0.359,3.13,149,95,0,0,1,0
2025-03-22,7,39,36,3,12,1,3,1,1,7,10,7,149,1,15,0.333,0.831,3.99,-0.36,-3.15,9.0,36,6,4,4,2,1,9,1,69,4.0,0.89,1.01,-0.141,1.15,156,103,1,0,0,1
2025-03-22,9,38,34,2,7,0,2,3,1,11,8,10,145,0,15,0.206,0.554,2.69,-0.127,-4.17,8.0,38,12,9,9,3,0,5,1,64,10.13,1.88,1.58,-0.375,-3.52,156,97,3,3,0,0
2025-03-22,0,38,35,9,12,1,9,3,0,5,11,5,156,1,8,0.343,0.909,2.77,0.377,3.54,9.0,38,7,2,2,3,1,11,0,68,2.0,1.11,1.27,0.126,4.15,145,96,5,2,1,1
2025-03-23,4,35,31,2,6,0,2,4,0,7,4,9,146,2,13,0.194,0.512,1.64,-0.288,-4.17,8.0,38,13,10,10,2,0,10,5,41,11.25,1.88,0.18,-0.212,-4.53,162,97,1,1,0,0
2025-03-23,8,38,36,10,13,5,10,2,0,10,10,7,162,0,8,0.361,1.228,0.82,0.211,4.54,9.0,35,6,2,2,4,0,7,0,78,2.0,1.11,0.79,0.287,4.15,146,95,3,1,1,1
2025-03-23,1,38,36,2,9,0,2,2,0,12,7,6,142,0,16,0.25,0.622,2.43,-0.307,-3.49,8.0,35,10,5,5,3,0,8,0,45,5.63,1.63,0.65,-0.191,-0.12,120,81,5,2,0,0
2025-03-23,5,35,31,5,10,0,5,3,0,8,6,9,120,1,13,0.323,0.694,1.79,0.192,0.11,9.0,38,9,2,2,2,0,12,0,53,2.0,1.22,1.05,0.309,3.49,142,97,1,0,1,1
2025-03-23,3,43,38,7,11,1,7,2,3,12,6,11,174,1,23,0.289,0.793,1.7,-0.06,2.5,8.0,44,15,11,8,4,0,8,4,28,9.0,2.38,0.37,-0.438,-6.12,166,106,0,0,0,0
2025-03-23,2,44,39,11,15,4,10,4,0,8,8,7,166,0,21,0.385,1.15,0.69,0.438,6.11,9.0,43,11,7,7,2,3,12,1,50,7.0,1.44,0.86,0.062,-2.5,174,111,4,3,1,1
2025-03-23,6,43,38,4,8,2,4,4,0,7,19,5,147,2,11,0.211,0.733,3.36,-0.283,-3.52,10.1,44,7,5,4,4,1,5,0,50,3.48,1.06,1.76,-0.217,1.51,149,91,1,1,0,0
2025-03-23,7,44,38,5,7,0,5,4,1,5,14,9,149,0,13,0.184,0.536,3.33,0.217,-1.52,11.0,43,8,4,4,4,0,7,2,54,3.27,1.09,2.1,0.282,3.53,147,100,1,0,1,1
2025-03-23,9,38,32,5,10,1,5,4,1,7,12,6,144,1,15,0.313,0.905,1.5,0.195,-1.17,9.0,37,6,4,3,3,0,9,2,52,3.0,1.0,1.61,0.307,1.15,144,92,3,0,1,0
