GameID,Team,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI_b,WPA_b,RE24_b,IP,TBF,H_p,R_p,ER,BB_p,HBP_p,K,HR_p,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI_p,WPA_p,RE24_p
05-20,SSG,40,35,5,8,0,5,2,1,7,11,8,132,0,24,0.229,0.596,1.96,0.155,-0.31,9.0,40,10,3,3,2,0,15,1,5-6,146-99,2-0,42,3.00,1.33,1.67,0.344,2.32
05-20,두산,40,38,3,10,1,3,2,0,15,5,6,146,0,20,0.263,0.668,3.56,-0.344,-2.33,9.0,40,8,5,3,2,1,7,0,11-8,132-92,5-1,60,3.00,1.11,1.14,-0.157,0.33
05-20,LG,50,35,17,12,1,17,11,2,3,12,8,201,3,14,0.343,0.996,0.66,0.462,11.68,9.0,49,17,9,9,5,0,7,1,7-10,218-137,4-3,44,9.00,2.44,0.49,0.039,-3.67
05-20,롯데,49,44,9,17,1,8,5,0,7,7,10,218,0,27,0.386,0.994,0.85,-0.038,3.67,9.0,50,12,17,17,11,2,3,1,12-8,201-112,4-4,5,17.00,2.56,0.33,-0.462,-11.68
05-20,한화,37,33,4,7,1,2,3,1,4,10,11,121,1,10,0.212,0.661,1.50,0.077,-1.33,9.0,36,4,1,1,4,1,10,0,4-11,149-95,2-0,66,1.00,0.89,0.86,0.424,3.32
05-20,NC,36,31,1,4,0,0,4,1,10,4,11,149,0,14,0.129,0.411,3.21,-0.424,-3.32,9.0,37,7,4,4,3,1,4,1,10-11,121-77,0-0,44,4.00,1.11,0.40,-0.076,1.32
05-20,KIA,35,34,3,9,1,3,0,1,5,10,6,129,2,11,0.265,0.757,3.37,-0.344,-2.32,8.0,37,7,5,5,5,0,3,1,10-9,129-75,2-2,45,5.63,1.50,0.38,-0.155,-0.27
05-20,KT,37,32,5,7,1,4,5,0,3,10,9,129,0,12,0.219,0.730,1.04,0.153,0.27,9.0,35,9,3,3,0,1,5,1,10-6,129-89,1-1,57,3.00,1.00,0.92,0.346,2.32
05-20,삼성,49,43,6,11,1,6,4,1,11,9,11,187,0,22,0.256,0.682,5.10,0.257,-0.52,11.0,45,9,3,3,4,1,9,0,10-8,158-99,0-0,72,2.45,1.18,2.40,0.242,3.50
05-20,키움,45,37,3,9,0,3,4,1,9,10,8,158,2,18,0.243,0.750,3.46,-0.243,-3.51,11.0,49,11,6,6,4,1,11,1,9-11,187-122,4-1,65,4.91,1.36,2.00,-0.258,0.50
05-21,SSG,46,36,9,9,0,7,8,1,7,8,10,182,0,26,0.250,0.697,1.09,0.280,3.68,9.0,34,8,1,1,2,0,11,1,9-4,140-96,0-0,68,1.00,1.11,0.19,0.220,4.32
05-21,두산,34,32,1,8,1,1,2,0,11,9,4,140,3,7,0.250,0.700,0.90,-0.221,-4.34,9.0,46,9,9,8,8,1,7,0,8-10,182-102,3-3,48,8.00,1.89,0.42,-0.280,-3.69
05-21,LG,51,43,7,13,3,6,6,0,9,10,9,199,1,26,0.302,0.915,3.50,0.110,0.49,11.0,52,15,7,7,5,1,8,1,13-5,189-123,4-0,21,5.73,1.82,1.96,-0.110,-1.50
05-21,롯데,52,45,7,15,1,6,5,1,8,13,5,189,2,22,0.333,0.879,3.82,0.110,1.49,11.0,51,13,7,6,6,0,9,3,10-9,199-119,1-0,41,4.91,1.73,1.63,-0.110,-0.50
05-21,한화,36,34,2,7,0,2,2,0,7,13,6,160,1,13,0.206,0.515,2.03,-0.281,-3.33,8.0,36,7,5,4,6,2,7,0,6-7,139-88,6-1,52,4.50,1.63,0.95,-0.219,0.74
05-21,NC,36,27,5,7,0,4,6,2,7,6,7,139,0,13,0.259,0.762,2.67,0.221,-0.75,9.0,36,7,2,2,2,0,7,0,13-6,160-108,0-0,59,2.00,1.00,1.28,0.279,3.32
05-21,KIA,37,35,1,10,0,1,1,0,5,9,9,127,0,21,0.286,0.668,3.67,-0.483,-4.33,8.0,37,9,3,2,3,0,9,0,9-5,143-97,0-0,55,2.25,1.50,0.61,-0.018,1.73
05-21,KT,37,33,3,9,0,2,3,0,9,9,5,143,0,20,0.273,0.697,2.81,0.019,-1.73,9.0,37,10,1,1,1,0,5,0,9-9,127-86,0-0,60,1.00,1.22,1.40,0.482,4.32
05-21,삼성,38,30,6,8,0,6,4,0,6,6,10,123,1,15,0.267,0.710,1.96,0.148,0.68,9.0,35,7,1,1,1,0,9,0,8-9,145-105,0-0,61,1.00,0.89,0.73,0.352,4.32
05-21,키움,35,34,1,7,0,1,1,0,9,8,9,145,0,12,0.206,0.464,2.74,-0.352,-4.32,9.0,38,8,6,6,4,0,6,0,6-10,123-80,1-0,60,6.00,1.33,0.43,-0.148,-0.68
05-22,SSG,37,31,5,8,2,5,3,1,7,10,6,139,1,14,0.258,0.785,3.74,0.059,-0.34,8.0,38,11,6,6,3,0,10,1,10-2,142-90,4-1,64,6.75,1.75,2.12,-0.559,-3.26
05-22,두산,38,35,6,11,1,6,3,0,10,10,2,142,0,21,0.314,0.797,3.52,0.558,3.25,9.0,37,8,5,5,3,1,7,2,10-6,139-86,2-1,38,5.00,1.22,0.97,-0.057,0.32
05-22,LG,38,34,4,8,2,4,3,1,5,9,10,142,1,17,0.235,0.757,1.90,0.033,-1.31,8.0,47,13,11,10,5,4,2,0,12-8,187-103,3-2,16,11.25,2.25,0.56,-0.532,-7.26
05-22,롯데,47,37,11,13,0,11,5,4,2,12,8,187,0,30,0.351,0.846,1.70,0.531,7.26,9.0,38,8,4,4,3,1,5,2,9-10,142-86,2-0,38,4.00,1.22,0.75,-0.031,1.33
05-22,한화,34,31,3,5,1,3,3,0,9,7,10,133,0,9,0.161,0.493,3.32,-0.337,-2.33,8.0,36,10,4,4,1,1,8,0,9-7,151-104,4-1,52,4.50,1.38,1.27,-0.165,0.74
05-22,NC,36,34,4,10,0,4,1,1,8,9,7,151,0,16,0.294,0.686,2.28,0.166,-0.76,9.0,34,5,3,3,3,0,9,1,7-10,133-84,4-1,52,3.00,0.89,1.89,0.334,2.33
05-22,KIA,42,39,8,14,1,8,3,0,6,12,6,135,1,10,0.359,0.867,1.68,0.435,1.72,9.0,35,6,3,0,5,0,5,0,11-7,121-72,1-0,60,0.00,1.22,0.65,0.065,2.29
