GameID,Team,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI_b,WPA_b,RE24_b,IP,TBF,H_p,R_p,ER,BB_p,HBP_p,K,HR_p,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI_p,WPA_p,RE24_p
03-22,롯데,36,33,2,7,0,2,3,0,8,7,11,132,1,14,0.212,0.520,0.99,-0.141,-3.84,8.0,47,15,12,10,5,2,8,2,11-4,187-117,3-1,15,11.25,2.50,0.19,-0.359,-5.92
03-22,LG,47,37,12,15,2,10,5,2,8,11,4,187,1,29,0.405,1.165,0.93,0.358,5.93,9.0,36,7,2,2,3,0,8,0,7-11,132-84,0-0,59,2.00,1.11,0.20,0.141,3.83
03-22,두산,44,36,5,9,0,5,8,0,14,4,9,193,0,22,0.250,0.719,2.63,0.025,-0.53,8.0,37,8,6,6,3,2,7,1,6-9,139-80,0-0,42,6.75,1.38,1.27,-0.525,-1.07
03-22,SSG,37,30,6,8,1,6,3,2,7,6,9,139,0,16,0.267,0.728,2.11,0.525,1.07,9.0,44,9,5,5,8,0,14,0,4-9,193-116,8-1,37,5.00,1.89,1.40,-0.026,0.54
03-22,키움,41,39,5,14,2,5,1,1,8,9,8,151,3,17,0.359,0.928,1.82,0.017,-0.46,8.0,47,18,13,13,4,1,9,2,5-10,171-105,2-2,12,14.63,2.75,0.45,-0.517,-9.14
03-22,삼성,47,41,13,18,2,13,4,1,9,5,10,171,0,20,0.439,1.172,1.97,0.518,9.15,9.0,41,14,5,5,1,1,8,2,9-8,151-106,0-0,53,5.00,1.67,0.25,-0.017,0.46
03-22,한화,36,33,4,6,1,4,2,1,9,10,7,156,0,9,0.182,0.583,3.50,0.141,-1.15,9.0,39,12,3,3,1,1,7,1,9-8,149-95,0-0,48,3.00,1.44,1.71,0.359,3.13
03-22,KT,39,36,3,12,1,3,1,1,7,9,8,149,1,15,0.333,0.831,3.99,-0.360,-3.15,9.0,36,6,4,4,2,1,9,1,10-7,156-103,1-0,69,4.00,0.89,1.01,-0.141,1.15
03-22,NC,38,34,2,7,0,2,3,1,11,11,5,145,0,15,0.206,0.554,2.69,-0.127,-4.17,8.0,38,12,9,9,3,0,5,1,8-10,156-97,3-3,64,10.13,1.88,1.58,-0.375,-3.52
03-22,KIA,38,35,9,12,1,9,3,0,5,8,10,156,1,8,0.343,0.909,2.77,0.377,3.54,9.0,38,7,2,2,3,1,11,0,11-5,145-96,5-2,68,2.00,1.11,1.27,0.126,4.15
