GameDate,Team,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI_b,WPA_b,RE24_b,IP,TBF,H_p,R_p,ER,BB_p,HBP_p,K,HR_p,GSC,ERA,WHIP,LI_p,WPA_p,RE24_p,NP_total,NP_strike,IR,IS,Result,home_away
2022-04-02,6,41,36,4,10,0,4,5,0,11,9,9,161,1,20,0.278,0.699,3.35,-0.141,-0.58,8.0,35,9,6,5,3,0,4,1,29,5.63,1.5,0.6,-0.36,0.08,135,88,3,0,0,0
2022-04-02,1,35,32,6,9,1,6,3,0,4,8,7,135,2,15,0.281,0.718,1.63,0.359,-0.08,9.0,41,10,4,4,5,0,11,0,47,4.0,1.67,1.38,0.14,0.6,161,103,1,0,1,1
2022-04-02,5,42,36,4,8,0,4,3,1,8,9,10,144,0,16,0.222,0.571,7.39,-0.207,-1.1,10.0,31,0,0,0,1,0,11,0,96,0.0,0.1,0.62,0.705,5.1,124,86,0,0,1,0
2022-04-02,9,31,30,0,0,0,0,1,0,11,10,11,124,0,1,0.0,0.032,1.63,-0.704,-5.11,10.0,42,8,4,4,3,1,8,0,72,3.6,1.1,2.26,0.206,1.11,144,101,4,3,0,1
2022-04-02,2,30,29,1,2,0,1,1,0,5,11,5,110,0,6,0.069,0.169,2.12,-0.431,-3.59,8.0,38,11,4,4,5,0,4,0,50,4.5,2.0,0.69,-0.069,0.08,146,87,4,1,0,0
2022-04-02,7,38,32,4,11,0,4,5,0,4,7,14,146,2,21,0.344,0.838,1.91,0.068,-0.09,9.0,30,2,1,1,1,0,5,0,68,1.0,0.33,0.92,0.43,3.59,110,74,0,0,1,1
2022-04-02,8,39,33,9,6,1,9,3,2,10,6,10,131,0,14,0.182,0.615,1.43,0.147,4.43,9.0,34,3,0,0,3,2,10,0,76,0.0,0.67,0.64,0.352,3.59,124,84,5,0,1,0
2022-04-02,0,34,29,0,3,0,0,3,2,10,8,8,124,1,12,0.103,0.373,1.76,-0.35,-3.59,9.0,39,6,9,5,3,2,10,1,64,5.0,1.0,0.35,-0.148,-4.41,131,87,0,0,0,1
2022-04-02,4,40,36,7,9,0,6,4,0,11,6,10,158,0,18,0.25,0.658,1.91,0.147,2.41,9.0,39,9,2,2,3,0,11,0,55,2.0,1.33,0.98,0.353,2.59,154,101,1,0,1,0
2022-04-02,3,39,36,2,9,0,2,3,0,11,11,4,154,0,19,0.25,0.614,2.6,-0.353,-2.58,9.0,40,9,7,3,4,0,11,0,59,3.0,1.44,0.7,-0.146,-2.41,158,108,0,0,0,1
2022-04-03,6,31,31,0,3,0,0,0,0,8,10,3,111,0,7,0.097,0.226,3.44,-0.742,-3.59,8.0,31,7,1,1,1,0,9,1,64,1.13,1.0,0.85,0.242,3.08,114,74,0,0,0,0
2022-04-03,1,31,29,1,7,1,1,1,0,9,8,11,114,0,14,0.241,0.612,2.34,-0.242,-3.09,9.0,31,3,0,0,0,0,8,0,71,0.0,0.33,1.48,0.741,3.59,111,78,0,0,1,1
2022-04-03,5,36,31,4,7,3,4,3,0,8,9,6,144,0,14,0.226,0.802,1.48,0.002,-0.58,9.0,34,5,1,1,3,0,10,0,73,1.0,0.89,2.43,0.498,1.59,135,88,1,0,1,0
2022-04-03,9,34,31,1,5,0,1,3,0,10,5,10,135,1,17,0.161,0.429,3.32,-0.497,-1.6,9.0,36,7,4,3,3,0,8,3,57,3.0,1.11,0.53,-0.003,0.58,144,89,2,1,0,1
2022-04-03,2,38,38,6,11,0,6,0,0,5,6,10,149,0,15,0.289,0.605,2.71,0.463,1.41,9.0,41,8,5,5,5,1,10,1,63,5.0,1.44,1.35,0.038,-0.41,167,107,2,1,1,0
2022-04-03,7,41,34,5,8,1,4,5,1,10,10,12,167,0,21,0.235,0.674,5.45,-0.038,0.4,9.0,38,11,6,5,0,0,5,0,74,5.0,1.22,1.54,-0.463,-1.41,149,102,2,2,0,1
2022-04-03,8,36,34,3,10,0,3,1,1,15,6,11,132,2,8,0.294,0.686,1.26,-0.112,-0.61,9.0,42,10,2,2,6,0,6,1,41,2.0,1.78,2.8,0.612,2.59,156,103,3,0,1,0
2022-04-03,0,42,36,2,10,1,2,6,0,6,6,3,156,1,20,0.278,0.798,5.49,-0.611,-2.6,9.0,36,10,3,3,1,1,15,0,40,3.0,1.22,0.84,0.113,0.59,132,96,3,0,0,1
2022-04-03,4,42,40,3,12,0,3,1,1,8,11,10,178,1,18,0.3,0.683,3.36,-0.304,-2.11,9.1,41,9,4,4,4,0,7,0,56,3.86,1.39,1.57,-0.197,2.09,170,103,3,1,0,0
2022-04-03,3,41,37,4,9,0,4,4,0,7,6,14,170,0,14,0.243,0.641,3.76,0.197,-2.11,10.0,42,12,3,3,1,1,8,0,58,2.7,1.3,2.12,0.304,2.1,178,120,0,0,1,1
2022-04-05,2,42,29,6,6,1,6,7,1,6,7,9,169,0,21,0.207,0.713,2.38,0.449,1.41,9.0,40,11,5,4,1,0,9,1,44,4.0,1.33,2.53,0.05,-0.41,165,110,2,1,1,0
2022-04-05,1,40,37,5,11,1,4,1,0,9,9,8,165,1,23,0.297,0.721,4.49,-0.051,0.41,9.0,42,6,6,5,7,1,6,1,50,5.0,1.44,1.12,-0.451,-1.41,169,101,4,1,0,1
2022-04-05,4,44,36,5,12,1,5,4,1,6,6,9,160,1,29,0.333,0.839,3.52,0.095,1.4,9.0,32,2,1,1,2,0,12,1,77,1.0,0.44,0.55,0.406,3.59,115,73,0,0,1,0
2022-04-05,9,32,30,1,2,1,1,2,0,12,9,10,115,0,5,0.067,0.325,1.66,-0.407,-3.6,9.0,44,12,5,5,4,1,6,1,50,5.0,1.78,0.81,-0.095,-1.41,160,101,3,3,0,1
2022-04-05,5,40,36,8,11,0,7,1,1,5,7,8,142,1,14,0.306,0.75,2.08,0.508,3.41,9.0,41,12,5,5,5,0,9,0,41,5.0,1.89,0.95,-0.01,-0.41,135,83,0,0,1,0
2022-04-05,7,41,36,5,12,0,5,5,0,9,12,9,135,3,17,0.333,0.804,2.98,0.009,0.42,9.0,40,11,8,7,1,1,5,0,42,7.0,1.33,0.93,-0.51,-3.41,142,94,4,4,0,1
2022-04-05,6,37,34,3,7,0,3,2,0,12,6,12,160,0,16,0.206,0.478,3.25,-0.089,-1.6,8.0,35,6,4,4,6,1,2,0,50,4.5,1.5,2.25,-0.411,0.08,128,71,3,1,0,0
2022-04-05,0,35,26,4,6,0,4,6,1,2,10,6,128,1,15,0.231,0.663,4.54,0.412,-0.08,9.0,37,7,3,1,2,0,12,0,68,1.0,1.0,2.29,0.089,1.59,160,103,6,1,1,1
2022-04-05,8,41,38,8,12,1,8,2,0,2,10,4,144,0,19,0.316,0.797,2.21,0.406,4.41,9.0,38,5,4,4,4,1,12,1,50,4.0,1.0,1.05,0.094,0.59,155,99,0,0,1,0
2022-04-05,3,38,33,4,5,1,3,4,1,12,5,19,155,0,11,0.152,0.536,2.04,-0.095,-0.58,9.0,41,12,8,5,2,0,2,1,53,5.0,1.56,1.05,-0.406,-4.41,144,96,0,0,0,1
2022-04-06,2,41,34,7,10,0,6,4,0,6,9,10,149,1,19,0.294,0.712,2.09,0.129,2.4,9.0,32,5,1,1,2,0,6,1,67,1.0,0.78,0.33,0.37,3.59,129,75,1,0,1,0
2022-04-06,1,32,30,1,5,1,1,2,0,6,10,9,129,2,5,0.167,0.519,1.99,-0.369,-3.61,9.0,41,10,7,4,4,0,6,0,56,4.0,1.56,0.5,-0.131,-2.41,149,97,1,1,0,1
2022-04-06,4,34,29,0,4,0,0,5,0,9,11,6,125,1,13,0.138,0.403,1.49,-0.354,-4.6,8.0,35,9,5,2,2,0,5,0,49,2.25,1.38,0.55,-0.147,-0.91,123,79,3,2,0,0
2022-04-06,9,35,32,5,9,0,4,2,0,5,7,8,123,0,14,0.281,0.668,1.53,0.147,0.9,9.0,34,4,0,0,5,0,9,0,68,0.0,1.0,0.45,0.354,4.59,125,73,0,0,1,1
2022-04-06,5,33,32,3,6,1,3,0,1,10,6,11,115,1,4,0.188,0.493,1.05,0.055,-1.6,9.0,33,3,0,0,3,0,9,0,72,0.0,0.67,0.81,0.444,4.59,129,82,0,0,1,0
2022-04-06,7,33,30,0,3,0,0,3,0,9,9,6,129,0,11,0.1,0.282,4.85,-0.445,-4.59,9.0,33,6,3,3,0,1,10,1,70,3.0,0.67,0.31,-0.055,1.59,115,84,0,0,0,1
2022-04-06,6,41,34,4,7,1,3,5,1,6,4,10,166,0,27,0.206,0.649,3.1,-0.237,-0.6,8.0,43,12,7,7,5,2,10,0,55,7.88,2.13,0.74,-0.265,-2.92,182,113,4,2,0,0
2022-04-06,0,43,36,7,12,0,7,5,2,10,11,10,182,0,25,0.333,0.831,2.02,0.265,2.9,9.0,41,7,4,3,5,1,6,1,60,3.0,1.33,1.34,0.235,0.58,166,100,4,0,1,1
2022-04-06,8,40,35,2,5,1,2,4,0,7,12,12,151,2,12,0.143,0.454,2.63,-0.368,-3.62,11.0,43,5,1,1,3,2,7,0,64,0.82,0.73,2.38,0.87,4.61,176,114,3,0,1,0
2022-04-06,3,43,38,1,5,0,1,3,2,7,11,10,176,1,16,0.132,0.417,2.34,-0.868,-4.62,11.0,40,5,2,2,4,0,7,1,61,1.64,0.82,1.84,0.369,3.61,151,94,2,1,0,1
2022-04-07,2,41,35,5,8,0,5,5,1,6,7,9,175,0,20,0.229,0.598,2.82,-0.041,0.41,8.0,43,10,6,5,6,3,5,0,44,5.63,2.0,2.23,-0.458,-1.92,151,84,2,1,0,0
2022-04-07,1,43,33,6,10,0,5,6,3,5,11,10,151,0,28,0.303,0.816,3.44,0.459,1.9,9.0,41,8,5,5,5,1,6,0,31,5.0,1.44,1.7,0.043,-0.41,175,104,4,2,1,1
2022-04-07,4,34,30,2,5,0,2,4,0,7,6,9,135,2,14,0.167,0.432,3.04,-0.136,-2.6,9.0,34,5,1,1,2,0,10,0,73,1.0,0.78,2.03,0.636,3.58,122,81,2,1,1,0
2022-04-07,9,34,31,1,5,0,1,2,0,10,5,13,122,0,12,0.161,0.438,4.22,-0.636,-3.6,9.0,34,5,2,1,4,0,7,0,64,1.0,1.0,1.27,0.137,2.59,135,85,3,2,0,1
2022-04-07,5,39,37,4,12,0,4,0,0,9,7,12,129,0,19,0.324,0.702,1.18,0.125,0.41,9.0,35,8,3,3,0,1,7,3,64,3.0,0.89,1.38,0.373,1.59,130,81,0,0,1,0
