GameDate,Team,OPS,BB,HBP,SO,ERA,BB_p,K,IR,IS,TBF,Recent_5_Win,Recent_5_Loss,home_away,Result
2021-04-13,9,0.636,3,1,11,1.0,4,7,1,0,35,0,0,0,1
2021-04-13,5,0.455,4,0,7,4.0,3,11,2,1,40,0,0,1,0
2021-04-13,6,0.556,2,0,12,4.5,9,6,3,1,37,0,0,0,0
2021-04-13,2,0.597,9,1,6,3.0,2,12,2,1,37,0,0,1,1
2021-04-13,4,0.828,10,1,8,0.0,2,10,0,0,32,0,0,0,1
2021-04-13,0,0.192,2,0,10,8.0,10,8,6,4,50,0,0,1,0
2021-04-14,7,0.546,2,0,7,3.38,5,11,0,0,34,1,0,0,0
2021-04-14,1,0.619,5,0,11,1.0,2,7,1,0,34,0,1,1,1
2021-04-14,8,1.119,6,1,8,2.0,3,6,0,0,31,0,1,0,1
2021-04-14,3,0.342,3,0,6,10.0,6,8,2,2,49,1,0,1,0
2021-04-14,9,0.294,1,2,8,0.0,3,8,0,0,34,1,0,0,1
2021-04-14,5,0.465,3,1,8,3.0,1,8,0,0,32,0,1,1,0
2021-04-14,6,0.701,2,1,9,2.0,1,5,1,1,32,0,1,0,1
2021-04-14,2,0.36,1,1,5,6.0,2,9,1,1,40,1,0,1,0
2021-04-14,4,0.556,5,0,5,2.31,6,6,0,0,44,1,0,0,0
2021-04-14,0,0.422,6,1,6,1.5,5,5,2,0,51,0,1,1,1
2021-04-15,7,1.076,6,0,7,2.0,3,5,0,0,37,1,1,0,1
2021-04-15,1,0.419,3,0,5,6.0,6,7,3,0,47,1,1,1,0
2021-04-15,8,0.727,2,0,10,4.0,0,6,0,0,37,1,1,0,1
2021-04-15,3,0.714,0,1,6,6.0,2,10,0,0,37,1,1,1,0
2021-04-15,9,0.551,5,0,9,9.0,0,6,0,0,37,2,0,0,0
2021-04-15,5,0.962,0,0,6,3.0,5,9,2,0,37,0,2,1,1
2021-04-15,6,0.181,1,0,11,4.5,7,3,1,1,35,1,1,0,0
2021-04-15,2,0.564,7,0,3,0.0,1,11,0,0,28,1,1,1,1
2021-04-15,4,0.686,7,0,11,11.25,9,4,3,2,45,1,1,0,0
2021-04-15,0,0.989,9,0,4,5.0,7,11,3,0,43,1,1,1,1
2021-04-16,1,0.552,5,2,5,1.13,5,3,3,0,33,0,0,0,0
2021-04-16,8,0.634,5,0,3,0.0,5,5,3,0,39,0,0,1,1
2021-04-16,0,0.898,4,0,8,6.0,9,8,6,2,47,0,0,0,1
2021-04-16,5,0.879,9,1,8,11.0,4,8,7,3,46,0,0,1,0
2021-04-16,3,0.733,2,0,7,9.0,5,6,5,4,37,0,0,0,0
2021-04-16,7,0.706,5,0,6,4.0,2,7,1,0,38,0,0,1,1
2021-04-16,2,0.812,4,1,7,9.0,6,8,3,3,39,0,0,0,0
2021-04-16,4,0.895,6,0,8,2.0,4,7,0,0,42,0,0,1,1
2021-04-16,6,0.551,3,0,10,10.13,7,5,6,4,43,0,0,0,0
2021-04-16,9,0.915,7,0,5,1.0,3,10,0,0,36,0,0,1,1
2021-04-17,1,0.685,3,0,11,1.0,4,7,2,0,34,0,1,0,1
2021-04-17,8,0.468,4,0,7,3.0,3,11,0,0,38,1,0,1,0
2021-04-17,0,0.532,6,0,6,3.72,2,8,4,1,44,1,0,0,0
2021-04-17,5,0.874,2,1,8,2.7,6,6,0,0,43,0,1,1,1
2021-04-17,3,0.733,6,1,8,9.0,8,11,5,4,42,0,1,0,0
2021-04-17,7,0.914,8,2,11,4.0,6,8,4,1,40,1,0,1,1
2021-04-17,2,1.1,8,0,5,0.0,4,8,0,0,34,0,1,0,1
2021-04-17,4,0.402,4,0,8,8.0,8,5,9,1,52,1,0,1,0
2021-04-17,6,0.562,2,0,8,14.63,9,12,5,0,49,0,1,0,0
2021-04-17,9,1.375,9,2,12,4.0,2,8,0,0,35,1,0,1,1
2021-04-18,1,0.872,5,0,12,1.0,5,9,1,0,41,1,1,0,1
2021-04-18,8,0.706,5,0,9,8.0,5,12,3,0,47,1,1,1,0
2021-04-18,0,0.508,9,1,6,4.5,6,7,3,1,35,1,1,0,0
2021-04-18,5,0.787,6,1,7,2.0,9,6,1,0,41,1,1,1,1
2021-04-18,3,0.553,1,0,8,6.75,5,3,2,2,46,0,2,0,0
2021-04-18,7,0.845,5,1,3,2.0,1,8,0,0,35,2,0,1,1
2021-04-18,2,0.827,4,0,1,0.0,1,11,0,0,33,1,1,0,1
2021-04-18,4,0.408,1,1,11,7.0,4,1,0,0,38,1,1,1,0
2021-04-18,6,1.127,6,0,7,3.0,5,8,1,1,39,0,2,0,1
2021-04-18,9,0.652,5,2,8,11.0,6,7,1,0,42,2,0,1,0
2021-04-20,0,0.81,7,1,10,2.0,7,3,1,0,38,0,0,0,1
2021-04-20,8,0.861,7,1,3,5.0,7,10,0,0,46,0,0,1,0
2021-04-20,3,0.606,3,0,11,5.63,3,6,1,0,35,0,0,0,0
2021-04-20,6,0.647,3,0,6,2.0,3,11,0,0,38,0,0,1,1
2021-04-20,5,0.928,3,1,13,6.0,3,8,3,0,43,0,0,0,1
2021-04-20,2,0.949,3,0,8,10.0,3,13,2,1,44,0,0,1,0
2021-04-20,1,0.894,2,1,9,11.25,8,3,0,0,42,0,0,0,0
2021-04-20,4,1.047,8,0,3,5.0,2,9,0,0,41,0,0,1,1
2021-04-20,7,0.803,8,1,8,2.0,5,8,2,0,37,0,0,0,1
2021-04-20,9,0.583,5,0,8,5.0,8,8,4,0,44,0,0,1,0
2021-04-21,0,0.699,4,1,6,6.75,6,7,3,3,35,1,0,0,0
2021-04-21,8,0.665,6,0,7,2.0,4,6,2,0,41,0,1,1,1
2021-04-21,3,0.68,8,1,10,4.5,5,6,3,0,36,0,1,0,0
2021-04-21,6,0.984,5,0,6,3.0,8,10,1,0,42,1,0,1,1
2021-04-21,5,0.719,6,0,6,12.38,11,4,1,0,51,1,0,0,0
2021-04-21,2,1.234,11,0,4,4.0,6,6,2,0,43,0,1,1,1
2021-04-21,1,1.024,3,0,10,11.25,8,5,6,1,45,0,1,0,0
2021-04-21,4,1.1,8,1,5,9.0,3,10,1,0,41,1,0,1,1
2021-04-21,7,0.655,6,0,5,4.5,3,4,3,0,35,1,0,0,0
2021-04-21,9,0.72,3,0,4,3.0,6,5,1,0,41,0,1,1,1
2021-04-22,0,0.637,10,1,7,1.8,8,6,1,1,44,1,1,0,1
2021-04-22,8,0.684,8,0,6,2.7,10,7,5,0,45,1,1,1,0
2021-04-22,3,0.791,6,0,3,3.0,5,2,2,0,39,0,2,0,1
2021-04-22,6,0.602,5,0,2,6.0,6,3,1,0,44,2,0,1,0
2021-04-22,5,0.583,5,0,13,4.0,4,8,1,0,42,1,1,0,1
2021-04-22,2,0.744,4,0,8,6.0,5,13,4,4,42,1,1,1,0
2021-04-22,1,0.914,4,0,2,1.0,3,9,0,0,34,0,2,0,1
2021-04-22,4,0.429,3,0,9,9.0,4,2,4,1,49,2,0,1,0
2021-04-22,7,0.808,3,0,8,5.0,4,6,0,0,40,1,1,0,1
2021-04-22,9,0.825,4,0,6,7.0,3,8,0,0,44,1,1,1,0
2021-04-23,9,0.5,2,2,5,4.5,5,6,1,0,38,0,0,0,0
2021-04-23,1,0.995,5,0,6,1.0,2,5,0,0,36,0,0,1,1
2021-04-23,5,0.783,5,3,3,5.0,2,5,1,0,40,0,0,0,1
2021-04-23,3,0.676,2,1,5,7.0,5,3,4,4,45,0,0,1,0
2021-04-23,4,0.985,4,0,3,5.0,5,7,2,0,45,0,0,0,1
2021-04-23,7,0.836,5,1,7,10.0,4,3,3,3,39,0,0,1,0
2021-04-23,8,0.772,6,1,6,1.0,5,15,0,0,36,0,0,0,1
2021-04-23,6,0.411,5,0,15,2.0,6,6,3,0,41,0,0,1,0
2021-04-23,2,0.373,2,0,12,2.25,1,5,0,0,34,0,0,0,0
2021-04-23,0,0.626,1,0,5,1.0,2,12,1,0,33,0,0,1,1
2021-04-24,9,0.731,4,0,11,7.88,4,2,3,0,43,0,1,0,0
2021-04-24,1,0.945,4,0,2,5.0,4,11,1,0,43,1,0,1,1
2021-04-24,5,0.788,2,1,5,3.6,4,10,0,0,42,1,0,0,1
2021-04-24,3,0.728,4,0,10,4.5,2,5,0,0,41,0,1,1,0
2021-04-24,4,0.877,2,0,4,2.0,1,4,0,0,35,1,0,0,1
2021-04-24,7,0.553,1,0,4,3.0,2,4,3,0,41,0,1,1,0
2021-04-24,8,0.742,7,1,5,16.88,10,7,5,5,52,1,0,0,0
2021-04-24,6,1.349,10,0,7,5.0,7,5,3,0,44,0,1,1,1
2021-04-24,2,1.001,5,1,2,4.0,4,8,1,1,39,0,1,0,1
2021-04-24,0,0.774,4,1,8,8.0,5,2,6,2,45,1,0,1,0
2021-04-25,9,0.987,3,2,0,0.0,2,4,0,0,36,0,2,0,1
2021-04-25,1,0.374,2,1,4,10.0,3,0,0,0,47,2,0,1,0
2021-04-25,5,0.557,4,0,9,4.5,4,5,2,1,36,2,0,0,0
2021-04-25,3,0.736,4,0,5,3.0,4,9,3,0,38,0,2,1,1
2021-04-25,4,0.639,6,0,8,6.23,12,8,4,1,46,2,0,0,0
2021-04-25,7,0.902,12,0,8,3.0,6,8,4,1,42,0,2,1,1
2021-04-25,8,0.745,4,0,8,0.0,2,12,1,0,28,1,1,0,1
2021-04-25,6,0.145,2,0,12,8.0,4,8,3,3,39,1,1,1,0
2021-04-25,2,0.699,6,0,6,2.0,4,7,2,1,39,1,1,0,1
2021-04-25,0,0.645,4,0,7,2.0,6,6,1,1,41,1,1,1,0
2021-04-27,4,0.464,6,0,10,4.5,3,5,0,0,34,0,0,0,0
2021-04-27,8,0.924,3,0,5,0.0,6,10,3,0,37,0,0,1,1
2021-04-27,1,0.822,6,2,4,5.63,3,3,3,1,35,0,0,0,0
2021-04-27,3,0.895,3,1,3,4.0,6,4,4,0,46,0,0,1,1
2021-04-27,7,1.142,10,1,8,4.0,1,10,0,0,37,0,0,0,1
2021-04-27,5,0.576,1,0,10,14.0,10,8,5,4,54,0,0,1,0
2021-04-27,9,0.428,2,0,8,10.13,2,5,2,0,38,0,0,0,0
2021-04-27,2,1.088,2,0,5,0.0,2,8,2,0,36,0,0,1,1
2021-04-27,6,0.504,5,1,6,3.38,2,7,1,1,34,0,0,0,0
2021-04-27,0,0.485,2,0,7,3.0,5,6,1,0,38,0,0,1,1
2021-04-28,4,0.603,2,0,6,0.0,2,14,0,0,31,0,1,0,1
2021-04-28,8,0.232,2,0,14,3.0,2,6,2,0,36,1,0,1,0
2021-04-28,1,0.748,7,0,9,4.35,6,7,4,3,51,0,1,0,0
2021-04-28,3,0.741,6,1,7,3.27,7,9,3,0,49,1,0,1,1
2021-04-28,7,0.559,4,0,13,4.5,7,3,4,2,38,1,0,0,0
2021-04-28,5,0.678,7,0,3,2.0,4,13,0,0,36,0,1,1,1
2021-04-28,9,0.737,3,3,14,4.5,4,8,3,3,39,0,1,0,0
2021-04-28,2,0.728,4,0,8,3.0,3,14,0,0,40,1,0,1,1
2021-04-28,6,0.271,1,0,16,3.38,5,2,1,0,33,0,1,0,0
2021-04-28,0,0.562,5,0,2,0.0,1,16,0,0,30,1,0,1,1
2021-04-29,4,0.602,3,0,8,3.38,3,3,2,2,31,1,1,0,0
2021-04-29,8,0.633,3,0,3,1.0,3,8,2,0,38,1,1,1,1
2021-04-29,1,0.973,12,2,7,4.0,1,8,0,0,34,0,2,0,1
2021-04-29,3,0.69,1,0,8,15.0,12,7,3,3,51,2,0,1,0
2021-04-29,7,0.736,7,2,10,1.0,4,8,4,0,36,1,1,0,1
2021-04-29,5,0.406,4,0,8,6.0,7,10,6,3,40,1,1,1,0
2021-04-29,9,1.178,5,0,6,0.0,1,10,0,0,30,0,2,0,1
2021-04-29,2,0.236,1,0,10,9.0,5,6,2,0,47,2,0,1,0
2021-04-29,6,0.361,8,1,9,1.74,8,10,3,1,45,0,2,0,0
2021-04-29,0,0.502,8,1,10,0.82,8,9,3,0,44,2,0,1,1
2021-04-30,5,0.581,4,0,11,10.13,5,7,2,2,44,0,0,0,0
2021-04-30,1,1.037,5,1,7,3.0,4,11,2,1,38,0,0,1,1
2021-04-30,0,0.67,2,1,10,13.5,8,7,2,2,45,0,0,0,0
2021-04-30,7,1.239,8,0,7,3.0,2,10,0,0,36,0,0,1,1
2021-04-30,8,0.479,1,0,6,4.5,6,8,7,1,39,0,0,0,0
2021-04-30,2,0.837,6,2,8,0.0,1,6,0,0,34,0,0,1,1
2021-04-30,3,0.566,5,0,10,3.0,2,7,0,0,35,0,0,0,1
2021-04-30,9,0.678,2,0,7,4.0,5,10,2,2,38,0,0,1,0
