home_Team,away_Team,home_Recent_5_Win,home_Recent_5_Loss,home_OPS,home_BB,home_HBP,home_SO,home_ERA,home_BB_p,home_K,home_IR,home_IS,home_TBF,away_OPS,away_BB,away_HBP,away_SO,away_ERA,away_BB_p,away_K,away_IR,away_IS,away_TBF
5,7,0,5,0.702,4.6,0,7.8,5.276,2.6,5.2,3,0,35.0,1.07,4.2,0,7.4,3.852,1.8,6.8,2,2,36.8
4,0,2,3,0.874,3.8,1,5.8,8.626000000000001,5.6,6.2,3,0,42.6,0.746,2.4,1,8.0,4.7620000000000005,5.0,8.4,3,3,39.2
2,3,1,4,0.476,2.8,1,6.2,3.176,4.0,5.8,0,0,37.6,1.107,3.8,1,9.0,2.26,2.6,6.2,0,0,38.2
0,7,2,3,0.822,4.2,1,7.2,4.6,3.4,7.4,3,1,39.2,0.451,5.0,0,6.0,5.176,2.2,8.0,1,0,36.0
7,4,5,0,0.666,3.4,1,6.2,3.2,2.6,7.8,3,1,38.2,0.69,3.2,0,7.6,7.825999999999999,4.6,5.2,2,0,40.0
7,3,1,4,0.606,5.2,0,7.6,3.252,3.0,7.2,0,0,36.4,0.553,2.2,0,7.8,4.926,3.8,3.8,0,0,41.2
5,3,2,3,0.676,3.4,1,6.2,3.876,3.4,6.2,0,0,37.8,0.624,2.4,0,5.0,4.752,4.2,5.2,0,0,39.6
2,4,1,4,0.706,3.8,2,7.2,2.6000000000000014,1.8,9.2,1,1,38.0,0.74,3.8,0,8.2,7.086,4.8,6.4,2,0,42.4
7,2,4,1,0.818,4.8,0,9.0,2.4800000000000004,1.8,7.8,0,0,34.8,0.64,2.4,0,4.6,2.9,1.8,6.2,1,0,36.6
6,2,2,3,0.539,2.0,0,9.2,3.5840000000000005,3.2,4.8,0,0,37.4,0.677,3.0,1,5.6,4.276,3.6,6.0,6,1,40.2
3,4,2,3,0.641,3.6,0,7.2,3.376,3.4,6.4,0,0,37.0,0.683,2.4,1,6.8,3.2,4.6,7.8,3,1,38.6
2,9,5,0,0.396,4.6,0,10.0,5.400000000000001,3.8,5.8,0,0,40.6,0.9,3.6,0,6.4,5.036,5.4,7.8,0,0,43.2
7,8,5,0,0.485,4.4,0,8.8,3.694,3.2,6.6,2,0,40.0,0.717,2.4,1,6.4,4.248,4.6,7.6,2,0,40.2
1,0,2,3,0.259,3.4,2,4.2,3.376,3.4,7.8,2,1,36.0,0.647,5.0,0,6.2,8.726,3.8,5.2,0,0,40.2
1,6,4,1,0.793,4.0,3,7.6,3.828,3.6,8.4,0,0,35.6,0.352,2.6,1,9.2,5.076,4.0,8.2,2,1,37.8
6,5,1,4,0.795,3.4,1,6.2,2.85,2.0,10.4,1,0,35.4,1.032,5.4,1,6.0,6.925999999999999,4.6,5.0,4,0,42.0
5,2,3,2,0.937,3.2,0,6.6,2.78,5.2,6.8,0,0,40.4,0.491,2.4,0,6.0,3.0860000000000007,2.6,6.0,2,0,40.2
1,4,1,4,1.095,5.0,0,6.0,4.776,2.2,7.4,2,0,39.2,0.622,3.2,0,8.2,3.376,4.0,8.0,0,0,38.4
3,1,3,2,0.886,4.4,1,12.0,8.306000000000001,3.4,5.4,0,0,41.2,0.382,3.0,0,10.0,5.552,3.6,8.8,5,2,40.6
7,4,2,3,0.993,4.4,1,8.4,5.726,3.6,8.2,0,0,39.0,0.606,3.2,0,4.0,6.416,4.8,8.8,2,0,43.0
4,7,2,3,0.71,4.4,0,9.8,4.776,3.8,9.6,4,0,41.4,0.649,2.8,0,8.2,5.62,2.6,7.8,3,3,41.4
0,3,4,1,0.668,3.0,0,6.0,2.66,2.4,9.4,2,1,40.0,0.423,4.4,0,10.2,8.982000000000001,3.8,6.0,1,1,43.2
9,1,3,2,1.285,2.4,4,5.8,5.276,3.6,7.0,1,1,35.6,0.836,2.0,0,10.0,5.776,3.6,5.6,5,3,38.0
6,5,1,4,0.739,3.4,1,10.0,4.726,4.2,7.2,1,0,38.0,0.802,6.2,2,6.2,3.45,4.2,8.2,0,0,36.8
9,2,0,5,0.741,4.2,0,6.8,3.886,4.2,5.8,6,4,38.2,0.592,3.4,0,4.2,6.726000000000001,4.2,7.8,0,0,41.4
2,1,3,2,1.167,1.8,1,6.4,3.976,2.0,6.4,3,0,37.6,0.647,1.6,0,7.0,1.4,3.6,6.2,8,3,37.6
